CountryName,CountryCode,Date,S1_School closing,S1_IsGeneral,S1_Notes,S2_Workplace closing,S2_IsGeneral,S2_Notes,S3_Cancel public events,S3_IsGeneral,S3_Notes,S4_Close public transport,S4_IsGeneral,S4_Notes,S5_Public information campaigns,S5_IsGeneral,S5_Notes,S6_Restrictions on internal movement,S6_IsGeneral,S6_Notes,S7_International travel controls,S7_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,
Honduras,HND,20200318,2,1,,0,0,,2,1,,0,0,,1,1,,0,0,,3,,,,0,,0,,0,,8,0,57,"	"
Croatia,HRV,20200318,2,1,,2,1,Government announces that all non-essential stores are being shut down for 30 days: https://glashrvatske.hrt.hr/en/news/domestic/bars-and-restaurants-to-be-closed-for-a-30-day-period/,2,1,Government bans all religious gatherings and sporting events; https://glashrvatske.hrt.hr/en/news/domestic/number-of-confirmed-coronavirus-cases-in-croatia-rises-to-105/,0,,,1,1,,2,1,,2,,4214550000,Croatian parliament adopted the government’s package of laws that consist of 63 measures proposed through 19 laws to assist business under circumstances of the coronavirus epidemic. The package is worth around 30 billion kuna; https://glashrvatske.hrt.hr/en/news/politics/parliament-adopts-governments-package-of-economic-measures/,3,,0,,0,,56,0,81,"	"
Hungary,HUN,20200318,2,1,,2,1,,2,1,,1,1,,1,1,,1,1,,3,,0,Principal and interest payment liabilities on loans taken out by private individuals and businesses up to the present day have been suspended up to the end of the year. http://abouthungary.hu/news-in-brief/coronavirus-update-pm-announces-suspension-of-principal-and-interest-payment-liabilities-on-loans/,1,,0,,0,,50,1,90,"	"
Indonesia,IDN,20200318,2,0,Idem (14 days),2,0,,1,1,,0,0,,1,1,,1,1,,3,,,,,,,,,,134,5,67,"	"
India,IND,20200318,2,1,https://www.mohfw.gov.in/pdf/DOSecyHE.pdf,2,0,https://www.mohfw.gov.in/pdf/SocialDistancingAdvisorybyMOHFW.pdf,2,0,https://www.mohfw.gov.in/pdf/SocialDistancingAdvisorybyMOHFW.pdf,0,,,1,1,"https://www.mygov.in/covid-19/
https://pib.gov.in/indexd.aspxhttps://thelogicalindian.com/news/kerala-robots-create-awareness-about-coronavirus-20225",0,,,3,https://www.mohfw.gov.in/pdf/TravelAdvisory16thMarch.pdf,0,,,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=49424,0,,0,,125,3,62,"	"
Ireland,IRL,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,2,,"	"
Iran,IRN,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14991,853,,"	"
Iraq,IRQ,20200318,2,1,,0,,,2,1,,2,0,"Kurdistan Regional Government: Suspend transportation by public transport lines (bus and minibus) between provinces from the 13 March to the 1 April. https://gov.krd/coronavirus-en/situation-update/#what-is-krg-doing
",1,1,,2,0,,3,,,,,,,,,,124,9,76,"	"
